uid,texto,fecha_prueba,apertura,presenta_apertura,responsabilidad,presenta_responsabilidad,sociabilidad,presenta_sociabilidad,amabilidad,presenta_amabilidad,neuroticismo,presenta_neuroticismo,fechaNacimiento,sexo,edad_calculada,Experimento
n84XTQwKheUqUcjjd0OIusWEAtg1, Un tema que me tiene dando vueltas la cabeza es que ya viene el día del niño y me gustaría como que hacerle un día especial al niño quisiera decorarle una pared quisiera hacer bollitos para ese día comprarle dulces que haiga música para que él esté feliz quisiera que hiciéramos en esa semana actividades con el niño como salir al parque hacer un día un pastel o algo al niño me gustaría ah me gustaría que hiciéramos una video llamada que puedan estar,23/04/2021,0.7,Sí,0.8,Sí,0.6,No,0.9,Sí,0.7,Sí,03/09/1991,Femenino,29,Exp 1-1
iXWwNMyEN5OBn4F6nMQnoqxNoki2, Si a mí me preguntaran Qué jugador de la NBA es mi favorito pues por obvias razones es Stephen Curry es más que nada un botador no hay más habilidosos en su posición como James Hardy muy buen botador creo que mucho mejor botador que Curry pero lo que hace Curry es sin esfuerzo siempre lo hace sin esfuerzo es natural mientras que Hardy es mucho más habilidoso  ,04/03/2021,0.8,Sí,0.8,Sí,0.3,No,0.8,Sí,0.9,Sí,23/07/1994,Masculino,26,Exp 1-1
n3a5RSlooCZYAuoefM4gCirmh9I2, Qué tal a mí me gusta mucho la NBA de hecho estoy pensando que quizás debería tener un programa donde hable sobre los equipos de la NBA los jugadores y los mejores partidos de la semana,04/03/2021,0.5,No,0.5,No,0.6,No,0.6,No,0.7,Sí,24/10/1995,Masculino,25,Exp 1-1
CTyZqFJypOZEXkCQakWoPfHDZ353, Me gusta mucho la educación y compartir con mi amigos y familiares distintas opiniones porque creemos que por ejemplo la educación en Finlandia en Corea sea tan buena y saber si en México se puede aplicar lo mismo ¿Qué haríamos diferente? ¿En qué podemos innovar? o en que no podemos innovar este no sé mis padres son profesores tengo muchas amistades que son también académicos y se me hace un tema muy interesante la verdad me hace pensar en qué podríamos crear buscar,23/04/2021,1,Sí,0.4,No,0.6,No,0.9,Sí,0.7,Sí,25/10/1980,Femenino,40,Exp 1-1
B6AJrl8ECWe2rIUCiO5TuYxeLwl1, Les hablaré sobre el cosmere el cosmere es un es un un Universo creado por el autor en literatura o en libros Brandon Sanderson donde más que nada crea diferentes historias o diferentes mundos en donde cada uno de éstos mundos tiene un sistema de magia diferente y éstos sistemas de magia se corresponden por un tipo de magia tipo durs quiere decir que son tipos de magias que tienen una estructura bien definida sobre lo que es sobre lo que es las reglas de la magia todas la magias están tienen sus reglas estrictamente bien bien hechas para que cualquier acción contenga una reacción a este tipo de magia entonces existen diferentes tipos de libros donde un libro tiene ,04/03/2021,0.7,Sí,0.8,Sí,0.7,Sí,0.5,No,0.9,Sí,02/12/1995,Masculino,25,Exp 1-1
pkcrgdVamvQpyF3mJAKQkAhQzTH3, Hola pues les voy a hablar sobre la desviación o sesgo los datos que últimamente me ha interesado bastante sobre todo por el área en la cual trabajo no que es mucho inteligencia artificial y sobre todo en en los temas que se refiere a clasificación de objetos de personas de rostros de expresiones etcétera entonces recientemente vi una película que está en Netflix disponible que se llama Code Fails traducido como código Cerrado o algo así y pues de me hizo muy interesado no lo que plantea una chica afro americana que empiece a experimentar con clasificadores rostro y descubre que pues,23/04/2021,0.8,Sí,0.6,No,0.5,No,0.8,Sí,0.8,Sí,15/11/1986,Femenino,34,Exp 1-1
Z3bzkauQOrTzcZ390OjQ6uVyYZ32, Hola Pues a mí me gusta mucho hablar acerca de la historia de México Cómo fue que las culturas mexicas perdieron la guerra contra los españoles en aquellos tiempos no después de que llegaron los españoles que se empezaron a interactuar con las tribus que estaban en digamos en el Valle de México Cómo fue que estás tribus empezaron a perder poder después de que los españoles pues arribarán a estas tierras pues todos sabemos la historia no de que pues los españoles empezaron a ganar territorios y Cómo fue que los españoles conquistaron a estas a esta a estas civilizaciones pero muchas veces como la historia es contada por los por los victoriosos realmente no nos,26/03/2021,0.8,Sí,0.6,No,0.8,Sí,0.6,No,1,Sí,22/09/1995,Masculino,25,Exp 1-1
R6M9tEjlzOTLDiGU2G6nHcBBfK43, Hola muy buenas tardes yo soy $Name$ y les vengo a hablar sobre un tema que me apasiona mucho y voy a aprovechar para practicar un poquito es un tema de zoo que voy a dar posteriormente les voy hablar sobre la importancia del manejo de redes sociales en Instagram para comenzar es muy importante que nosotros tengamos en cuenta a la hora que queremos vender en Instagram tener en cuenta la fórmula de las tres uves que es generar contenido viral de valor y vendible para generar el contenido vendible tenemos que crear mucho contenido de valor y a su vez cuando generamos contenido de valor vamos a generar el contenido viral entonces esto nos,27/04/2021,0.9,Sí,0.6,No,0.9,Sí,0.9,Sí,0.5,No,21/04/1995,Femenino,26,Exp 1-1
WSVPHtUiVUSK0IwNz1Nsmm7Rirv2, Hola Mi nombre es $Name$ tengo 33 años soy profesora del área de ciencias en la preparatoria del Tecnológico de Monterrey enseñar ciencias es algo que me gusta mucho puesto que me gusta despertar la curiosidad de mis alumnos una de mis actividades favoritas es llevar a mis alumnos al laboratorio puesto que al poner en práctica los conocimientos dentro de laboratorio en los experimentos de las diferentes materias que estoy a cargo los alumnos tienen un aprendizaje más vivencial pueden llegar a controlar el aprendizaje significativo en el cual ellos relacionan condiciones cotidianas o actividades cotidianas con el el aprendizaje que ven dentro del aula de esta manera el aprendizaje es más relacionado con estas actividades y hay más probabilidad de que sea un aprendizaje para largo plazo otra de las bondades de la docencia es poder conectar,23/04/2021,0.7,Sí,0.6,No,0.5,No,0.9,Sí,0.5,No,05/05/1987,Femenino,33,Exp 1-1
aq4nXj73ZzdZeXXTt8g0ZPrVDGm1, Hola Mi nombre es $Name$ a mí me gusta mucho hablar sobre temas de filosofía y religión también aunque realmente no tengo muchas personas con las que hablar sobre eso pero si son temas que disfruto y de hecho también me gusta ver contenido sobre lo que opinan otras personas por internet especialmente por la parte de filosofía que estudia muchísimos puntos de vista no no es como la la religión las personas no tienen a analizar todos los puntos de vista no y pues también me gusta leer mucho principalmente me gusta leer pues cosas que tengan que ver con filosofía con religión también ,29/04/2021,0.8,Sí,0.6,No,0.4,No,0.8,Sí,0.3,No,07/08/1995,Masculino,25,Exp 1-1
